Unnamed: 0,Mumbai.total.confirmed,Mumbai.total.deceased,Mumbai.total.recovered,Mumbai.delta.confirmed,Mumbai.delta.deceased,Mumbai.delta.recovered,Mumbai.delta.tested,Mumbai.total.tested,Mumbai.delta.other,Mumbai.total.other,Mumbai.total.deceased.shift,Mumbai.Levitt.Metric,Mumbai.MA.daily.tests,Mumbai.MA.daily.positivity,Mumbai.percent.case.growth
2020-06-20,65329.0,3561.0,32867.0,1190.0,136.0,603.0,8594.0,287384.0,,8.0,3425.0,1.0397080291970804,,0.13846869909239004,-0.05854430379746833
2020-06-21,66488.0,3671.0,33491.0,1159.0,110.0,624.0,4206.0,291590.0,,8.0,3561.0,1.030890199382196,,0.2755587256300523,-0.026050420168067245
2020-06-22,67586.0,3737.0,34121.0,1098.0,66.0,630.0,3271.0,294861.0,,8.0,3671.0,1.0179787523835466,,0.335677162947111,-0.052631578947368474
2020-06-23,68410.0,3844.0,34576.0,824.0,107.0,455.0,4518.0,299379.0,,8.0,3737.0,1.0286325929890285,,0.18238158477202301,-0.24954462659380694
2020-06-24,69528.0,3964.0,37008.0,1118.0,120.0,2432.0,5311.0,304690.0,,8.0,3844.0,1.0312174817898023,,0.21050649595179816,0.3567961165048543
2020-06-25,70878.0,4062.0,39149.0,1350.0,98.0,2141.0,,304690.0,,8.0,3964.0,1.0247225025227042,,,0.20751341681574242
2020-06-26,72175.0,4179.0,39744.0,1297.0,117.0,595.0,,304690.0,,8.0,4062.0,1.0288035450516986,,,-0.039259259259259216
2020-06-27,74252.0,4284.0,42329.0,2077.0,105.0,2585.0,15283.0,319973.0,,8.0,4179.0,1.0251256281407035,,0.1359026369168357,0.6013878180416345
2020-06-28,75539.0,4371.0,43154.0,1287.0,87.0,825.0,4693.0,324666.0,,8.0,4284.0,1.0203081232492996,,0.2742382271468144,-0.38035628310062586
2020-06-29,76765.0,4463.0,43545.0,1226.0,92.0,391.0,,324666.0,,8.0,4371.0,1.0210478151452758,,,-0.04739704739704742
2020-06-30,77658.0,4556.0,44170.0,893.0,93.0,625.0,3955.0,328621.0,,8.0,4463.0,1.0208380013443872,,0.22579013906447534,-0.2716150081566069
2020-07-01,79145.0,4631.0,44791.0,1487.0,75.0,621.0,11175.0,339796.0,,8.0,4556.0,1.0164618086040387,,0.13306487695749442,0.6651735722284435
2020-07-02,80699.0,4689.0,50691.0,1554.0,58.0,5900.0,,339796.0,,8.0,4631.0,1.0125242928093285,,,0.04505716207128452
2020-07-03,82074.0,4762.0,52392.0,1375.0,73.0,1701.0,10117.0,349913.0,,8.0,4689.0,1.0155683514608658,,0.13590985470000988,-0.11518661518661522
2020-07-04,83237.0,4830.0,53463.0,1163.0,68.0,1071.0,4736.0,354649.0,,8.0,4762.0,1.0142797144057119,,0.24556587837837837,-0.1541818181818182
2020-07-05,84524.0,4899.0,55884.0,1287.0,69.0,2421.0,4510.0,359159.0,1.0,9.0,4830.0,1.0142857142857142,,0.28536585365853656,0.10662080825451414
2020-07-06,85724.0,4938.0,57152.0,1200.0,39.0,1268.0,3961.0,363120.0,1.0,10.0,4899.0,1.0079608083282303,,0.3029537995455693,-0.06759906759906764
2020-07-07,86509.0,5002.0,58137.0,785.0,64.0,985.0,5483.0,368603.0,1.0,11.0,4938.0,1.0129607128392062,,0.14316979755608245,-0.3458333333333333
2020-07-08,87856.0,5064.0,59238.0,1347.0,62.0,1101.0,5539.0,374142.0,,11.0,5002.0,1.0123950419832066,,0.24318469037732443,0.715923566878981
2020-07-09,89124.0,5132.0,60195.0,1268.0,68.0,957.0,5412.0,379554.0,,11.0,5064.0,1.0134281200631912,,0.2342941611234294,-0.05864884929472902
2020-07-10,90461.0,5205.0,61934.0,1337.0,73.0,1739.0,5899.0,385453.0,276.0,287.0,5132.0,1.0142244738893218,,0.22664858450584846,0.054416403785489065
2020-07-11,91745.0,5244.0,63431.0,1284.0,39.0,1497.0,5769.0,391222.0,1.0,288.0,5205.0,1.007492795389049,,0.22256890275611024,-0.039640987284966345
2020-07-12,92988.0,5288.0,64872.0,1243.0,44.0,1441.0,5278.0,396500.0,,288.0,5244.0,1.0083905415713197,,0.23550587343690793,-0.031931464174454804
2020-07-13,94146.0,5335.0,65622.0,1158.0,47.0,750.0,5241.0,401741.0,,288.0,5288.0,1.0088880484114977,,0.2209502003434459,-0.06838294448913917
2020-07-14,95100.0,5405.0,66633.0,954.0,70.0,1011.0,6579.0,408320.0,1.0,289.0,5335.0,1.013120899718838,,0.14500683994528044,-0.17616580310880825
2020-07-15,96474.0,5467.0,67830.0,1374.0,62.0,1197.0,7070.0,415390.0,,289.0,5405.0,1.0114708603145235,,0.19434229137199435,0.4402515723270439
2020-07-16,97950.0,5523.0,67830.0,1476.0,56.0,,5955.0,421345.0,1.0,290.0,5467.0,1.0102432778489117,,0.2478589420654912,0.07423580786026207
2020-07-17,99164.0,5585.0,69340.0,1214.0,62.0,1510.0,6033.0,427378.0,1.0,291.0,5523.0,1.0112257830889009,,0.2012265871042599,-0.1775067750677507
2020-07-18,100350.0,5650.0,70492.0,1186.0,65.0,1152.0,5849.0,433227.0,,291.0,5585.0,1.0116383169203222,,0.2027697042229441,-0.023064250411861664
2020-07-19,101388.0,5714.0,71685.0,1038.0,64.0,1193.0,4989.0,438216.0,1.0,292.0,5650.0,1.0113274336283187,,0.20805772699939867,-0.12478920741989885
2020-07-20,102423.0,5755.0,72648.0,1035.0,41.0,963.0,4867.0,443083.0,,292.0,5714.0,1.0071753587679384,,0.21265666735155125,-0.0028901734104046506
2020-07-21,103368.0,5817.0,73555.0,945.0,62.0,907.0,7376.0,450459.0,,292.0,5755.0,1.0107732406602954,,0.1281182212581345,-0.08695652173913049
2020-07-22,104678.0,5875.0,75118.0,1310.0,58.0,1563.0,6052.0,456511.0,,292.0,5817.0,1.0099707753137357,,0.21645736946463978,0.3862433862433863
2020-07-23,105923.0,5930.0,77102.0,1245.0,55.0,1984.0,6210.0,462721.0,,292.0,5875.0,1.0093617021276595,5853.571428571428,0.20048309178743962,-0.04961832061068705
2020-07-24,106980.0,5984.0,78259.0,1057.0,54.0,1157.0,7609.0,470330.0,2.0,294.0,5930.0,1.009106239460371,5734.142857142857,0.1389144434222631,-0.15100401606425706
2020-07-25,108060.0,6036.0,78876.0,1080.0,52.0,617.0,8495.0,478825.0,,294.0,5984.0,1.0086898395721926,5913.142857142857,0.12713360800470866,0.021759697256386046
2020-07-26,109161.0,6093.0,80238.0,1101.0,57.0,1362.0,6738.0,485563.0,,294.0,6036.0,1.0094433399602385,6019.238095238095,0.16340160284951025,0.019444444444444375
2020-07-27,110182.0,6132.0,81944.0,1021.0,39.0,1706.0,8776.0,494339.0,,294.0,6093.0,1.0064007877892664,6248.523809523809,0.11634001823154057,-0.07266121707538598
2020-07-28,110882.0,6187.0,84411.0,700.0,55.0,2467.0,11643.0,505982.0,,294.0,6132.0,1.008969341161122,6541.857142857143,0.06012196169372155,-0.3143976493633692
2020-07-29,111991.0,6247.0,85327.0,1109.0,60.0,916.0,10732.0,516714.0,,294.0,6187.0,1.0096977533538063,6789.142857142857,0.10333581811405143,0.5842857142857143
2020-07-30,113199.0,6300.0,86447.0,1208.0,53.0,1120.0,10268.0,526982.0,,294.0,6247.0,1.0084840723547304,7020.380952380952,0.11764705882352941,0.08926961226330032
2020-07-31,114284.0,6353.0,87074.0,1085.0,53.0,627.0,10554.0,537536.0,,294.0,6300.0,1.0084126984126984,7242.047619047619,0.10280462383930264,-0.10182119205298013
2020-08-01,115331.0,6398.0,87906.0,1047.0,45.0,832.0,9084.0,546620.0,2.0,296.0,6353.0,1.0070832677475208,7399.9047619047615,0.11525759577278732,-0.035023041474654404
2020-08-02,116436.0,6447.0,88299.0,1105.0,49.0,393.0,5374.0,551994.0,,296.0,6398.0,1.0076586433260395,7404.476190476191,0.20561965016747302,0.05539637058261704
2020-08-03,117406.0,6493.0,90089.0,970.0,46.0,1790.0,7793.0,559787.0,,296.0,6447.0,1.0071351015976424,7526.0,0.12447067881432054,-0.12217194570135748
2020-08-04,118115.0,6549.0,90960.0,709.0,56.0,871.0,7244.0,567031.0,1.0,297.0,6493.0,1.0086246727244725,7557.666666666667,0.09787410270568747,-0.26907216494845365
2020-08-05,119240.0,6591.0,91673.0,1125.0,42.0,713.0,8888.0,575919.0,,297.0,6549.0,1.0064131928538709,7644.238095238095,0.12657515751575157,0.5867418899858956
2020-08-06,120150.0,6648.0,92659.0,910.0,57.0,986.0,7241.0,583160.0,,297.0,6591.0,1.0086481565771506,7705.476190476191,0.12567324955116696,-0.19111111111111112
2020-08-07,121012.0,6693.0,93898.0,862.0,45.0,1239.0,9070.0,592230.0,,297.0,6648.0,1.0067689530685922,7850.0952380952385,0.09503858875413451,-0.05274725274725278
2020-08-08,122316.0,6751.0,95354.0,1304.0,58.0,1456.0,7561.0,599791.0,,297.0,6693.0,1.0086657702076796,7931.619047619048,0.1724639597936781,0.5127610208816706
