date,district,state,total.confirmed,total.deceased,total.recovered,delta.confirmed,delta.deceased,delta.recovered,delta.tested,total.tested,delta.other,total.other,levitt.Metric,MA.21.daily.tests,delta.positivity,MA.21.delta.positivity,delta.percent.case.growth,MA.21.delta.percent.case.growth,delta.hospitalized,total.hospitalized,delta.active
2020-06-20,Mumbai,MH,65329.0,3561.0,32867.0,1190.0,136.0,603.0,8594.0,287384.0,,8.0,0.038939932581452154,,13.846869909239004,,-0.05854430379746833,,171.0141143489776,2675.820622329156,28901.0
2020-06-21,Mumbai,MH,66488.0,3671.0,33491.0,1159.0,110.0,624.0,4206.0,291590.0,,8.0,0.030422700219056503,,27.55587256300523,,-0.026050420168067245,,149.1209250155057,2824.9415473446616,29326.0
2020-06-22,Mumbai,MH,67586.0,3737.0,34121.0,1098.0,66.0,630.0,3271.0,294861.0,,8.0,0.01781904598864951,,33.5677162947111,,-0.052631578947368474,,137.14952450279972,2962.091071847461,29728.0
2020-06-23,Mumbai,MH,68410.0,3844.0,34576.0,824.0,107.0,455.0,4518.0,299379.0,,8.0,0.028230340604699124,,18.2381584772023,,-0.24954462659380694,,110.36476290801826,3072.4558347554794,29990.0
2020-06-24,Mumbai,MH,69528.0,3964.0,37008.0,1118.0,120.0,2432.0,5311.0,304690.0,,8.0,0.030740125359695534,,21.050649595179816,,0.3567961165048543,,170.82949135959333,3243.2853261150726,28556.0
2020-06-27,Mumbai,MH,74252.0,4284.0,42329.0,2077.0,105.0,2585.0,15283.0,319973.0,,8.0,0.07763353611776072,,13.590263691683571,,0.8577817531305902,,282.8225610188871,3526.1078871339596,27639.0
2020-06-28,Mumbai,MH,75539.0,4371.0,43154.0,1287.0,87.0,825.0,4693.0,324666.0,,8.0,0.020104663295675066,15460.285714285714,27.42382271468144,20.836828781810894,-0.38035628310062586,,204.19602493851124,3730.3039120724707,28014.0
2020-06-30,Mumbai,MH,77658.0,4556.0,44170.0,893.0,93.0,625.0,3955.0,328621.0,,8.0,0.04145322970375823,7934.333333333333,22.579013906447535,21.877187468714038,-0.30613830613830617,0.032360385923453194,111.50091146471009,3841.8048235371807,28932.0
2020-07-01,Mumbai,MH,79145.0,4631.0,44791.0,1487.0,75.0,621.0,11175.0,339796.0,,8.0,0.016327781913679246,8339.285714285714,13.306487695749441,19.389116809166996,0.6651735722284435,0.04129069265806061,230.9701514218897,4072.7749749590703,29723.0
2020-07-03,Mumbai,MH,82074.0,4762.0,52392.0,1375.0,73.0,1701.0,10117.0,349913.0,,8.0,0.027894920566056202,8336.761904761905,13.590985470000987,19.36673689733439,-0.07531943510423666,0.046433758365614974,179.5490658388017,4252.324040797872,24920.0
2020-07-04,Mumbai,MH,83237.0,4830.0,53463.0,1163.0,68.0,1071.0,4736.0,354649.0,,8.0,0.014178719599810248,8045.142857142857,24.55658783783784,20.078323953016746,-0.1541818181818182,0.05194557987743648,151.2111926930783,4403.53523349095,24944.0
