date,total.confirmed,district,state,total.deceased,total.recovered,delta.confirmed,delta.deceased,delta.recovered,delta.tested,total.tested,delta.other,total.other,levitt.Metric,MA.21.daily.tests,delta.positivity,MA.21.delta.positivity,delta.percent.case.growth,delta.hospitalized,total.hospitalized,delta.active,spline.active,spline.deceased,spline.hospitalized,spline.recovered,delta.tested.non.impu,delta.confirmed.non.impu,delta.deceased.non.impu,delta.recovered.non.impu,delta.other.non.impu,total.tested.non.impu,total.confirmed.non.impu,total.recovered.non.impu,total.deceased.non.impu,total.other.non.impu,delta.active.non.impu,MA.21.daily.active.non.impu,MA.21.daily.deceased.non.impu,MA.21.daily.recovered.non.impu
2020-07-01,73737.0,Mumbai,MH,4428.0,44151.0,1487.0,75.0,621.0,11175.0,339792.0,0.0,0.0,0.017082752276229976,4835.571428571428,13.306487695749441,29.022299648138144,0.6651735722284435,230.9701514218897,10686.741035546995,25158.0,25158.0,75.0,230.9701514218897,621.0,11175.0,1487.0,75.0,621.0,0.0,339796.0,73738.0,44150.0,4427.0,8.0,25161.0,23799.14285714286,132.0952380952381,1004.6190476190476
2020-07-02,75291.0,Mumbai,MH,4486.0,50051.0,1554.0,58.0,5900.0,5058.0,344850.0,0.0,0.0,0.013013421251626182,4853.523809523809,30.723606168446025,29.04282029873677,0.04505716207128452,230.75600588566985,10917.497041432665,20754.0,20754.0,58.0,230.75600588566985,5900.0,0.0,1554.0,58.0,5900.0,0.0,339796.0,75292.0,50050.0,4485.0,8.0,20757.0,23675.190476190477,130.23809523809524,1261.047619047619
2020-07-03,76666.0,Mumbai,MH,4559.0,51752.0,1375.0,73.0,1701.0,5058.0,349908.0,0.0,0.0,0.016141865133287678,4876.761904761905,27.184657967576115,28.913966353877154,-0.11518661518661522,179.5490658388017,11097.046107271468,20355.0,20355.0,73.0,179.5490658388017,1701.0,10117.0,1375.0,73.0,1701.0,0.0,349913.0,76667.0,51751.0,4558.0,8.0,20358.0,23516.380952380954,129.42857142857142,1297.142857142857
2020-07-04,77829.0,Mumbai,MH,4627.0,52823.0,1163.0,68.0,1071.0,4736.0,354644.0,0.0,0.0,0.014805408693558097,4884.666666666667,24.55658783783784,28.645378320313732,-0.1541818181818182,151.2111926930783,11248.257299964545,20379.0,20379.0,68.0,151.2111926930783,1071.0,4736.0,1163.0,68.0,1071.0,0.0,354649.0,77830.0,52822.0,4626.0,8.0,20382.0,23334.52380952381,129.38095238095238,1310.2857142857142
2020-07-05,79116.0,Mumbai,MH,4696.0,55244.0,1287.0,69.0,2421.0,4510.0,359154.0,0.0,0.0,0.01480237260093268,4881.809523809524,28.536585365853657,28.550684094221737,0.10662080825451414,176.35209900732656,11424.609398971872,19176.0,19176.0,69.0,176.35209900732656,2421.0,4510.0,1287.0,69.0,2421.0,1.0,359159.0,79117.0,55243.0,4695.0,9.0,19178.0,23081.285714285714,129.38095238095238,1376.095238095238
2020-07-06,80316.0,Mumbai,MH,4735.0,56512.0,1200.0,39.0,1268.0,3961.0,363115.0,1.0,1.0,0.008270644112246208,4852.809523809524,30.29537995455693,28.88151546227764,-0.06759906759906764,152.1412294705271,11576.7506284424,19068.0,19068.0,39.0,152.1412294705271,1268.0,3961.0,1200.0,39.0,1268.0,1.0,363120.0,80317.0,56511.0,4734.0,10.0,19071.0,22924.85714285714,128.0,1287.0
2020-07-07,81101.0,Mumbai,MH,4799.0,57497.0,785.0,64.0,985.0,5483.0,368598.0,1.0,2.0,0.013425836238066995,4953.428571428572,14.316979755608244,28.24209511151319,-0.3458333333333333,100.43248899036966,11677.183117432769,18804.0,18804.0,64.0,100.43248899036966,985.0,5483.0,785.0,64.0,985.0,1.0,368603.0,81102.0,57496.0,4798.0,11.0,18807.0,22798.619047619046,87.38095238095238,1290.2857142857142
2020-07-08,82448.0,Mumbai,MH,4861.0,58598.0,1347.0,62.0,1101.0,5539.0,374137.0,92.0,94.0,0.012836615187210023,4977.761904761905,24.31846903773244,28.1130393695891,0.715923566878981,207.52676846131627,11884.709885894084,18897.0,18897.0,62.0,207.52676846131627,1101.0,5539.0,1347.0,62.0,1101.0,0.0,374142.0,82449.0,58597.0,4860.0,11.0,18992.0,22634.285714285714,86.66666666666667,1328.5714285714287
2020-07-09,83716.0,Mumbai,MH,4929.0,59555.0,1268.0,68.0,957.0,5412.0,379549.0,92.0,186.0,0.013891949659922374,5016.857142857143,23.429416112342942,27.892778708168375,-0.05864884929472902,164.68380925969979,12049.393695153783,19140.0,19140.0,68.0,164.68380925969979,957.0,5412.0,1268.0,68.0,957.0,0.0,379554.0,83717.0,59554.0,4928.0,11.0,19235.0,22448.04761904762,86.71428571428571,1349.4761904761904
2020-07-10,85053.0,Mumbai,MH,5002.0,61294.0,1337.0,73.0,1739.0,5899.0,385448.0,92.0,278.0,0.014701704732186693,5079.142857142857,22.664858450584845,27.661003964069,0.054416403785489065,167.6972993429589,12217.090994496742,18665.0,18665.0,73.0,167.6972993429589,1739.0,5899.0,1337.0,73.0,1739.0,276.0,385453.0,85054.0,61293.0,5001.0,287.0,18484.0,22190.714285714286,84.76190476190476,1412.857142857143
